ID_REF	LFQ.intensity.CACO2_1	LFQ.intensity.CACO2_2	LFQ.intensity.COLO205_1	LFQ.intensity.COLO205_2	LFQ.intensity.DLD1_1	LFQ.intensity.DLD1_2	LFQ.intensity.HCT116_1	LFQ.intensity.HCT116_2	LFQ.intensity.HT29_1	LFQ.intensity.HT29_2	LFQ.intensity.RKO_1	LFQ.intensity.RKO_2	LFQ.intensity.SW1398_1	LFQ.intensity.SW1398_2	LFQ.intensity.SW480_1	LFQ.intensity.SW480_2
1860	9089400000	8792800000	8949100000	7252500000	11810000000	11309000000	9620700000	7201900000	8410300000	8820500000	14836000000	15967000000	9402900000	9059300000	6382800000	7721600000
2243	4997100000	5527800000	4280900000	4196200000	5807200000	5917400000	5314900000	5864900000	3041500000	3124300000	5375800000	5414500000	4496500000	4385400000	7648200000	7346700000
2739	2160700000	2090600000	30589000000	4188200000	3214100000	5975500000	11561000000	4747800000	39645000000	38918000000	8903000000	10298000000	3348400000	3238100000	1876000000	2838100000
2959	395180000	468840000	349410000	494790000	465560000	489180000	410850000	504620000	539770000	565100000	723700000	829860000	564670000	627110000	359280000	433220000
2260	101860000	84585000	93405000	101120000	0	59807000	109170000	137070000	116620000	148570000	120460000	109280000	106450000	114820000	125650000	110510000
4041	52779000	62863000	53180000	72288000	60890000	56588000	60839000	50039000	54179000	54720000	74293000	73886000	53968000	81103000	46458000	60676000
611	3.7153E7	3.0627e+7	8.7144*10^7	42039000	0	38705000	71535000	38283000	77139000	87371000	61147000	77433000	56667000	42680000	29357000	0
5060	0	26186000	0	0	40098000	40544000	34255000	41055000	0	0	0	48845000	0	27135000	27820000	37298000
