"NR2E1"	"1872522"	"1"	"1891833"	"5"	
"GOLGA6L9"	"1850606"	"1"	"1891834"	"8"	
"LOC100132984"	"1841930"	"1"	"1891835"	"12"	
"LOC100128184"	"1867193"	"1"	"1891836"	"12"	
"TRNAL11"	"1856832"	"1"	"1891837"	"7"	
"EPX"	"1877895"	"1"	"1891838"	"3"	
"MKRN8P"	"1859223"	"1"	"1891839"	"6"	
"C6ORF97"	"1872979"	"1"	"1891840"	"7"	
"DZIP1"	"1845514"	"1"	"1891841"	"5"	
"SLC12A2"	"1861303"	"1"	"1891842"	"7"	
"KCNMA1"	"1872624"	"1"	"1891843"	"6"	
"LOC100288866"	"1855930"	"1"	"1891844"	"12"	
"CRYGN"	"1860489"	"1"	"1891845"	"5"	
"CAMK1G"	"1873928"	"1"	"1891846"	"6"	
"ZNF691"	"1870592"	"1"	"1891847"	"6"	
"ZNF365"	"1864110"	"1"	"1891848"	"6"	
"IGKV2OR2-7D"	"1871898"	"1"	"1891849"	"11"	
"SPR"	"1862840"	"1"	"1891850"	"3"	
"LOC100653256"	"1876686"	"1"	"1891851"	"12"	
"ZBED1P"	"1870015"	"1"	"1891852"	"6"	
"GPCRLTM7"	"1851411"	"1"	"1891853"	"8"	
"PSME2P3"	"1863375"	"1"	"1891854"	"7"	
"LDHAP2"	"1875581"	"1"	"1891855"	"6"	
"KRT8P35"	"1840782"	"1"	"1891856"	"7"	
"LINC00307"	"1838762"	"1"	"1891857"	"9"	
"CEACAMP2"	"1848136"	"1"	"1891858"	"8"	
"LOC100507651"	"1873208"	"1"	"1891859"	"12"	
"MIR4421"	"1847928"	"1"	"1891860"	"7"	
"C19ORF79"	"1860313"	"1"	"1891861"	"8"	
"SASH3"	"1845665"	"1"	"1891862"	"5"	
"LOC100505865"	"1844045"	"1"	"1891863"	"12"	
"LOC100505774"	"1839196"	"1"	"1891864"	"12"	
"NDRG3"	"1861946"	"1"	"1891865"	"5"	
"ITK"	"1847129"	"1"	"1891866"	"3"	
"TDH"	"1850382"	"1"	"1891867"	"3"	
"LOC645739"	"1839947"	"1"	"1891868"	"9"	
"AK2P1"	"1855935"	"1"	"1891869"	"5"	
"BP9"	"1843191"	"1"	"1891870"	"3"	
"RPS25P9"	"1865975"	"1"	"1891871"	"7"	
"STQTL20"	"1873424"	"1"	"1891872"	"7"	
"GAGE10"	"1863476"	"1"	"1891873"	"6"	
"LOC644257"	"1865808"	"1"	"1891874"	"9"	
"TBC1D3P2"	"1862088"	"1"	"1891875"	"8"	
"DNM3"	"1875474"	"1"	"1891876"	"4"	
"PHF10"	"1851237"	"1"	"1891877"	"5"	
"RPL32P34"	"1871402"	"1"	"1891878"	"8"	
"IGHV7-27"	"1853944"	"1"	"1891879"	"8"	
"OR2B6"	"1851560"	"1"	"1891880"	"5"	
"TMEM110"	"1859086"	"1"	"1891881"	"7"	
"OR9I1"	"1865012"	"1"	"1891882"	"5"	
"ASTE1"	"1866141"	"1"	"1891883"	"5"	
"CDH12P4"	"1864869"	"1"	"1891884"	"7"	
"ECA1"	"1861816"	"1"	"1891885"	"4"	
"LOC100418496"	"1858746"	"1"	"1891886"	"12"	
"FAM47C"	"1839577"	"1"	"1891887"	"6"	
"TIGD7"	"1867801"	"1"	"1891888"	"5"	
"OR1AA1P"	"1842571"	"1"	"1891889"	"7"	
"LOC284861"	"1852677"	"1"	"1891890"	"9"	
"ARHGAP9"	"1849101"	"1"	"1891891"	"7"	
"WT3"	"1849801"	"1"	"1891892"	"3"	
"DAAM1"	"1847021"	"1"	"1891893"	"5"	
"KAT6B"	"1875246"	"1"	"1891894"	"5"	
"TBX2"	"1872831"	"1"	"1891895"	"4"	
"SNORA53"	"1860004"	"1"	"1891896"	"7"	
"FRAXC"	"1849788"	"1"	"1891897"	"5"	
"C11ORF21"	"1874298"	"1"	"1891898"	"8"	
"KCNK9"	"1848413"	"1"	"1891899"	"5"	
"NPHS2"	"1844889"	"1"	"1891900"	"5"	
"TRNAY15"	"1865315"	"1"	"1891901"	"7"	
"LOC100287329"	"1845340"	"1"	"1891902"	"12"	
"FAM45A"	"1839465"	"1"	"1891903"	"6"	
"TNFAIP8"	"1851776"	"1"	"1891904"	"7"	
"RPL31P5"	"1842271"	"1"	"1891905"	"7"	
"MKKS"	"1857680"	"1"	"1891906"	"4"	
"LOC645852"	"1845819"	"1"	"1891907"	"9"	
"DDX19B"	"1846398"	"1"	"1891908"	"6"	
"RPS12P16"	"1837946"	"1"	"1891909"	"8"	
"SH3GL1"	"1851519"	"1"	"1891910"	"6"	
"TRPM4"	"1861658"	"1"	"1891911"	"5"	
"LOC595101"	"1858962"	"1"	"1891912"	"9"	
"VN2R1P"	"1856169"	"1"	"1891913"	"6"	
"TRNAV32"	"1877717"	"1"	"1891914"	"7"	
"LOC728763"	"1852708"	"1"	"1891915"	"9"	
"ZFYVE1"	"1852815"	"1"	"1891916"	"6"	
"LRRN4CL"	"1878905"	"1"	"1891917"	"7"	
"LOC100131849"	"1861390"	"1"	"1891918"	"12"	
"LOC731075"	"1841235"	"1"	"1891919"	"9"	
"PPP6R2"	"1838697"	"1"	"1891920"	"6"	
"SNAP47"	"1877904"	"1"	"1891921"	"6"	
"GPSC"	"1854423"	"1"	"1891922"	"4"	
"PAXIP1"	"1857822"	"1"	"1891923"	"6"	
"PPIAP5"	"1870056"	"1"	"1891924"	"6"	
"RPL32P35"	"1875735"	"1"	"1891925"	"8"	
"SULT1A4"	"1873785"	"1"	"1891926"	"7"	
"LOC100418926"	"1874520"	"1"	"1891927"	"12"	
"FAM207A"	"1844127"	"1"	"1891928"	"7"	
"LOC100419798"	"1839672"	"1"	"1891929"	"12"	
"TFG"	"1865060"	"1"	"1891930"	"3"	
"NUP205"	"1855771"	"1"	"1891931"	"6"	
"LOC100653185"	"1868918"	"1"	"1891932"	"12"	
"RBP5"	"1857273"	"1"	"1891933"	"4"	
"SNORD3C"	"1852675"	"1"	"1891934"	"7"	
"OR7E43P"	"1850763"	"1"	"1891935"	"7"	
"LOC100509457"	"1848794"	"1"	"1891936"	"12"	
"LOC642335"	"1861934"	"1"	"1891937"	"9"	
"OAZ1"	"1871663"	"1"	"1891938"	"4"	
"OR10G4"	"1867009"	"1"	"1891939"	"6"	
"ALG2"	"1852908"	"1"	"1891940"	"4"	
"LOC389895"	"1878720"	"1"	"1891941"	"9"	
"MPP3"	"1875973"	"1"	"1891942"	"4"	
