"LOC100287067"	"31404"	"GENE:100287067"	"1842597"	"GENE"		"Gene"	
"TAS2R36"	"20261"	"GENE:266666"	"1842598"	"GENE"		"Gene"	
"ASAP1-IT1"	"11655"	"GENE:29065"	"1842599"	"GENE"		"Gene"	
"MIR5686"	"38286"	"GENE:100847011"	"1842600"	"GENE"		"Gene"	
"HES6"	"13393"	"GENE:55502"	"1842601"	"GENE"		"Gene"	
"RPL39P34"	"30538"	"GENE:100271523"	"1842602"	"GENE"		"Gene"	
"GLRXP2"	"16304"	"GENE:171418"	"1842603"	"GENE"		"Gene"	
"OTX1"	"4353"	"GENE:5013"	"1842604"	"GENE"		"Gene"	
"TRAJ34"	"11394"	"GENE:28721"	"1842605"	"GENE"		"Gene"	
"TRNL1"	"3983"	"GENE:4567"	"1842606"	"GENE"		"Gene"	
"ATP6V0CP1"	"30003"	"GENE:100132978"	"1842607"	"GENE"		"Gene"	
"LARP1B"	"13155"	"GENE:55132"	"1842608"	"GENE"		"Gene"	
"NRG1"	"3325"	"GENE:3084"	"1842609"	"GENE"		"Gene"	
"HMGB1P4"	"9059"	"GENE:10355"	"1842610"	"GENE"		"Gene"	
"DACH2"	"14762"	"GENE:117154"	"1842611"	"GENE"		"Gene"	
"MIR1273F"	"40377"	"GENE:100616156"	"1842612"	"GENE"		"Gene"	
"DHFR"	"1150"	"GENE:1719"	"1842613"	"GENE"		"Gene"	
"LOC390617"	"25427"	"GENE:390617"	"1842614"	"GENE"		"Gene"	
"RPL11P2"	"17713"	"GENE:133629"	"1842615"	"GENE"		"Gene"	
"LOC391834"	"26462"	"GENE:391834"	"1842616"	"GENE"		"Gene"	
"TM9SF4"	"8087"	"GENE:9777"	"1842617"	"GENE"		"Gene"	
"LOC100506411"	"42056"	"GENE:100506411"	"1842618"	"GENE"		"Gene"	
"SLEB7"	"31802"	"GENE:100188803"	"1842619"	"GENE"		"Gene"	
"HIST1H1PS1"	"22691"	"GENE:387325"	"1842620"	"GENE"		"Gene"	
"GABRG2"	"2379"	"GENE:2566"	"1842621"	"GENE"		"Gene"	
"LOC100131303"	"34708"	"GENE:100131303"	"1842622"	"GENE"		"Gene"	
"TDRKH"	"8780"	"GENE:11022"	"1842623"	"GENE"		"Gene"	
"SNORD115-17"	"33713"	"GENE:100033455"	"1842624"	"GENE"		"Gene"	
"NPIPL3"	"9644"	"GENE:23117"	"1842625"	"GENE"		"Gene"	
"MRX75"	"18979"	"GENE:89760"	"1842626"	"GENE"		"Gene"	
"LOC100287098"	"31413"	"GENE:100287098"	"1842627"	"GENE"		"Gene"	
"GCC2"	"7972"	"GENE:9648"	"1842628"	"GENE"		"Gene"	
"NYNRIN"	"13725"	"GENE:57523"	"1838112"	"GENE"		"Gene"	
"NUP210P3"	"31548"	"GENE:100419070"	"1838113"	"GENE"		"Gene"	
"IGKV3D-7"	"11530"	"GENE:28877"	"1838114"	"GENE"		"Gene"	
"PRSS43"	"33667"	"GENE:100288960"	"1838115"	"GENE"		"Gene"	
"FECD2"	"31763"	"GENE:100188278"	"1838116"	"GENE"		"Gene"	
"PMFBP1"	"15616"	"GENE:83449"	"1838117"	"GENE"		"Gene"	
"LOC338963"	"17448"	"GENE:338963"	"1838118"	"GENE"		"Gene"	
"KIF25-AS1"	"41094"	"GENE:100505879"	"1838119"	"GENE"		"Gene"	
"SNX18"	"21009"	"GENE:112574"	"1838120"	"GENE"		"Gene"	
"GFOD1"	"12297"	"GENE:54438"	"1838121"	"GENE"		"Gene"	
"LOC389199"	"23712"	"GENE:389199"	"1838122"	"GENE"		"Gene"	
"LOC100128343"	"35971"	"GENE:100128343"	"1838123"	"GENE"		"Gene"	
"WFDC1"	"14062"	"GENE:58189"	"1838124"	"GENE"		"Gene"	
"RPL6P7"	"35287"	"GENE:100270848"	"1838125"	"GENE"		"Gene"	
"LOC100128088"	"35519"	"GENE:100128088"	"1838126"	"GENE"		"Gene"	
"NAT16"	"29291"	"GENE:375607"	"1838127"	"GENE"		"Gene"	
"TXNRD2"	"8299"	"GENE:10587"	"1838128"	"GENE"		"Gene"	
"LOC729602"	"24891"	"GENE:729602"	"1838129"	"GENE"		"Gene"	
"MRPL22P1"	"28283"	"GENE:359738"	"1838130"	"GENE"		"Gene"	
"NOMO1"	"9892"	"GENE:23420"	"1838131"	"GENE"		"Gene"	
"CTAGE1"	"13948"	"GENE:64693"	"1838132"	"GENE"		"Gene"	
"LOC100419058"	"31542"	"GENE:100419058"	"1838133"	"GENE"		"Gene"	
"AURKAIP1"	"13050"	"GENE:54998"	"1838134"	"GENE"		"Gene"	
"PDF"	"14329"	"GENE:64146"	"1838135"	"GENE"		"Gene"	
"SNORD42A"	"10230"	"GENE:26809"	"1838136"	"GENE"		"Gene"	
"LOC100288914"	"33662"	"GENE:100288914"	"1838137"	"GENE"		"Gene"	
"RSL24D1P2"	"30723"	"GENE:100129162"	"1838138"	"GENE"		"Gene"	
"ZNF260"	"17485"	"GENE:339324"	"1838139"	"GENE"		"Gene"	
"FBXW8"	"10945"	"GENE:26259"	"1838140"	"GENE"		"Gene"	
"MAP4K5"	"8434"	"GENE:11183"	"1838141"	"GENE"		"Gene"	
"MB21D2"	"21537"	"GENE:151963"	"1838142"	"GENE"		"Gene"	
"PPARG"	"5206"	"GENE:5468"	"1838143"	"GENE"		"Gene"	
"HOXA1"	"3421"	"GENE:3198"	"1838144"	"GENE"		"Gene"	
"LAMTOR3P1"	"32559"	"GENE:100130119"	"1838145"	"GENE"		"Gene"	
"TRNAN13"	"32669"	"GENE:100189108"	"1838146"	"GENE"		"Gene"	
"TMED2"	"8727"	"GENE:10959"	"1838147"	"GENE"		"Gene"	
"LOC100418522"	"30193"	"GENE:100418522"	"1838148"	"GENE"		"Gene"	
"SPON1"	"9108"	"GENE:10418"	"1838149"	"GENE"		"Gene"	
"PGPEP1L"	"19661"	"GENE:145814"	"1838150"	"GENE"		"Gene"	
"RRP12"	"9734"	"GENE:23223"	"1838151"	"GENE"		"Gene"	
"RPS4XP14"	"24033"	"GENE:729097"	"1838152"	"GENE"		"Gene"	
"RAD21L1"	"29450"	"GENE:642636"	"1838153"	"GENE"		"Gene"	
"GOLGA2P1"	"31074"	"GENE:100418751"	"1838154"	"GENE"		"Gene"	
"EXO1"	"7583"	"GENE:9156"	"1838155"	"GENE"		"Gene"	
"ARID3C"	"18210"	"GENE:138715"	"1838156"	"GENE"		"Gene"	
"SNX3"	"6869"	"GENE:8724"	"1838157"	"GENE"		"Gene"	
"FGFR4"	"2112"	"GENE:2264"	"1838158"	"GENE"		"Gene"	
"H3F3C"	"23299"	"GENE:440093"	"1838159"	"GENE"		"Gene"	
"LOC100421349"	"41557"	"GENE:100421349"	"1838160"	"GENE"		"Gene"	
"SRP9"	"5798"	"GENE:6726"	"1838161"	"GENE"		"Gene"	
"MIR3157"	"39226"	"GENE:100422892"	"1838162"	"GENE"		"Gene"	
"TGFBRE"	"6326"	"GENE:8167"	"1838163"	"GENE"		"Gene"	
"LOC642890"	"29500"	"GENE:642890"	"1838164"	"GENE"		"Gene"	
"MIR1184-2"	"39543"	"GENE:100422985"	"1838165"	"GENE"		"Gene"	
"COX5A"	"7752"	"GENE:9377"	"1838166"	"GENE"		"Gene"	
"TUBGCP5"	"21514"	"GENE:114791"	"1838167"	"GENE"		"Gene"	
"LOC100288963"	"34002"	"GENE:100288963"	"1838168"	"GENE"		"Gene"	
"LPXN"	"7775"	"GENE:9404"	"1838169"	"GENE"		"Gene"	
"SPEG"	"9004"	"GENE:10290"	"1838170"	"GENE"		"Gene"	
"RPL34P27"	"27163"	"GENE:651249"	"1838171"	"GENE"		"Gene"	
"3.8-1.2"	"27799"	"GENE:353007"	"1838172"	"GENE"		"Gene"	
"ZNF432"	"7989"	"GENE:9668"	"1838173"	"GENE"		"Gene"	
"PLD4"	"15701"	"GENE:122618"	"1838174"	"GENE"		"Gene"	
"SLMO1"	"8355"	"GENE:10650"	"1838175"	"GENE"		"Gene"	
"MRPS33P4"	"28322"	"GENE:359777"	"1838176"	"GENE"		"Gene"	
"OR4K8P"	"25465"	"GENE:390836"	"1838177"	"GENE"		"Gene"	
"IFITM5"	"22759"	"GENE:387733"	"1838178"	"GENE"		"Gene"	
"SNORD30"	"7688"	"GENE:9299"	"1838179"	"GENE"		"Gene"	
"CDX2"	"1654"	"GENE:1045"	"1838180"	"GENE"		"Gene"	
"OST4"	"36509"	"GENE:100128731"	"1838181"	"GENE"		"Gene"	
"MIR1233-1"	"35012"	"GENE:100302160"	"1838182"	"GENE"		"Gene"	
"COG1"	"7757"	"GENE:9382"	"1838183"	"GENE"		"Gene"	
"SMAL"	"7278"	"GENE:8094"	"1838184"	"GENE"		"Gene"	
"GCM1"	"6701"	"GENE:8521"	"1838185"	"GENE"		"Gene"	
"C1DP1"	"27542"	"GENE:554049"	"1838186"	"GENE"		"Gene"	
"CPM"	"865"	"GENE:1368"	"1838187"	"GENE"		"Gene"	
"MIR544A"	"28599"	"GENE:664613"	"1838188"	"GENE"		"Gene"	
"LOC285638"	"15467"	"GENE:285638"	"1838189"	"GENE"		"Gene"	
"MUC8"	"4005"	"GENE:4590"	"1838190"	"GENE"		"Gene"	
"ZNF764"	"20441"	"GENE:92595"	"1838191"	"GENE"		"Gene"	
"LOC729724"	"24937"	"GENE:729724"	"1838192"	"GENE"		"Gene"	
"LOC100422394"	"38651"	"GENE:100422394"	"1838193"	"GENE"		"Gene"	
"MIR299"	"22390"	"GENE:407023"	"1838194"	"GENE"		"Gene"	
"HNRNPKP1"	"24082"	"GENE:389322"	"1838195"	"GENE"		"Gene"	
"FTLP12"	"39631"	"GENE:100462792"	"1838196"	"GENE"		"Gene"	
"OLFM1"	"9126"	"GENE:10439"	"1838197"	"GENE"		"Gene"	
"S100A7P2"	"29259"	"GENE:375027"	"1838198"	"GENE"		"Gene"	
"CYCS"	"12267"	"GENE:54205"	"1838199"	"GENE"		"Gene"	
"CD74"	"1590"	"GENE:972"	"1838200"	"GENE"		"Gene"	
"KRAS"	"3200"	"GENE:3845"	"1838201"	"GENE"		"Gene"	
"HEMC"	"7171"	"GENE:7909"	"1838202"	"GENE"		"Gene"	
"BPIFB5P"	"40288"	"GENE:100505383"	"1838203"	"GENE"		"Gene"	
"LOC100129607"	"31628"	"GENE:100129607"	"1838204"	"GENE"		"Gene"	
"COMMD10"	"12770"	"GENE:51397"	"1838205"	"GENE"		"Gene"	
"LOC100418574"	"30577"	"GENE:100418574"	"1838206"	"GENE"		"Gene"	
"SDCCAG3P1"	"23229"	"GENE:388478"	"1838207"	"GENE"		"Gene"	
"C7orf57"	"18152"	"GENE:136288"	"1838208"	"GENE"		"Gene"	
"E2F6"	"1282"	"GENE:1876"	"1838209"	"GENE"		"Gene"	
"LOC100129204"	"30743"	"GENE:100129204"	"1838210"	"GENE"		"Gene"	
"LOC645773"	"24843"	"GENE:645773"	"1838211"	"GENE"		"Gene"	
"LOC646127"	"25256"	"GENE:646127"	"1839587"	"GENE"		"Gene"	
"IHPS2"	"33269"	"GENE:780923"	"1839588"	"GENE"		"Gene"	
"MED21"	"7781"	"GENE:9412"	"1839589"	"GENE"		"Gene"	
"RETSAT"	"12076"	"GENE:54884"	"1839590"	"GENE"		"Gene"	
"LETM1P2"	"35691"	"GENE:100131934"	"1839591"	"GENE"		"Gene"	
"SNRPD2P1"	"15191"	"GENE:119358"	"1839592"	"GENE"		"Gene"	
"OR2A41P"	"29811"	"GENE:403234"	"1839593"	"GENE"		"Gene"	
"BRP44"	"9365"	"GENE:25874"	"1839594"	"GENE"		"Gene"	
"MS4A13"	"26611"	"GENE:503497"	"1839595"	"GENE"		"Gene"	
"LOC100422128"	"38082"	"GENE:100422128"	"1839596"	"GENE"		"Gene"	
"DAZ4"	"14571"	"GENE:57135"	"1839597"	"GENE"		"Gene"	
"SLC38A3"	"8755"	"GENE:10991"	"1839598"	"GENE"		"Gene"	
"ZNF397"	"17067"	"GENE:84307"	"1839599"	"GENE"		"Gene"	
"GOLGA8DP"	"30004"	"GENE:100132979"	"1839600"	"GENE"		"Gene"	
"RPL5P26"	"36668"	"GENE:100271206"	"1839601"	"GENE"		"Gene"	
"LOC727961"	"22543"	"GENE:727961"	"1839602"	"GENE"		"Gene"	
"ZNF138"	"7054"	"GENE:7697"	"1839603"	"GENE"		"Gene"	
"TRNAH3"	"32228"	"GENE:100188987"	"1839604"	"GENE"		"Gene"	
"GPX6"	"19784"	"GENE:257202"	"1839605"	"GENE"		"Gene"	
"PCNA-AS1"	"35498"	"GENE:100302739"	"1839606"	"GENE"		"Gene"	
"LOC100653343"	"37955"	"GENE:100653343"	"1839607"	"GENE"		"Gene"	
"CKS1B"	"708"	"GENE:1163"	"1839608"	"GENE"		"Gene"	
"ATP5C1"	"558"	"GENE:509"	"1839609"	"GENE"		"Gene"	
"AOS"	"31768"	"GENE:100188340"	"1839610"	"GENE"		"Gene"	
"RPL23AP82"	"14980"	"GENE:284942"	"1839611"	"GENE"		"Gene"	
"LOC400950"	"28334"	"GENE:400950"	"1839612"	"GENE"		"Gene"	
"ICT1"	"2568"	"GENE:3396"	"1839613"	"GENE"		"Gene"	
"SLC9A3"	"4743"	"GENE:6550"	"1839614"	"GENE"		"Gene"	
"MEOX1"	"2868"	"GENE:4222"	"1839615"	"GENE"		"Gene"	
"TRNAI26"	"33966"	"GENE:100189427"	"1839616"	"GENE"		"Gene"	
"DGCR6L"	"18559"	"GENE:85359"	"1839617"	"GENE"		"Gene"	
"NBEA"	"10400"	"GENE:26960"	"1839618"	"GENE"		"Gene"	
"GPR18"	"1750"	"GENE:2841"	"1839619"	"GENE"		"Gene"	
"LOC100129581"	"31611"	"GENE:100129581"	"1839620"	"GENE"		"Gene"	
"LOC100421039"	"40919"	"GENE:100421039"	"1839621"	"GENE"		"Gene"	
"LOC90246"	"19435"	"GENE:90246"	"1839622"	"GENE"		"Gene"	
"H2AFB2"	"26522"	"GENE:474381"	"1839623"	"GENE"		"Gene"	
"ZNF567"	"15317"	"GENE:163081"	"1839624"	"GENE"		"Gene"	
"HOXD12"	"3461"	"GENE:3238"	"1839625"	"GENE"		"Gene"	
"MKNK2"	"1779"	"GENE:2872"	"1839626"	"GENE"		"Gene"	
"LOC100130842"	"33855"	"GENE:100130842"	"1839627"	"GENE"		"Gene"	
"TBC1D4"	"8179"	"GENE:9882"	"1839628"	"GENE"		"Gene"	
"RPL7AP64"	"23101"	"GENE:728486"	"1839629"	"GENE"		"Gene"	
"IFNW1"	"2628"	"GENE:3467"	"1839630"	"GENE"		"Gene"	
"SNORD58B"	"10213"	"GENE:26790"	"1839631"	"GENE"		"Gene"	
"XRCC2"	"5602"	"GENE:7516"	"1839632"	"GENE"		"Gene"	
"LRP1"	"2708"	"GENE:4035"	"1839633"	"GENE"		"Gene"	
"RNU7-51P"	"31304"	"GENE:100151647"	"1839634"	"GENE"		"Gene"	
"SETD1B"	"9607"	"GENE:23067"	"1839635"	"GENE"		"Gene"	
"LOC100131950"	"35700"	"GENE:100131950"	"1839636"	"GENE"		"Gene"	
"SPRED2"	"16843"	"GENE:200734"	"1839637"	"GENE"		"Gene"	
"C9orf24"	"17593"	"GENE:84688"	"1839638"	"GENE"		"Gene"	
"LOC440354"	"23359"	"GENE:440354"	"1839639"	"GENE"		"Gene"	
"OR5B21"	"17805"	"GENE:219968"	"1839640"	"GENE"		"Gene"	
"ROS1"	"4851"	"GENE:6098"	"1839641"	"GENE"		"Gene"	
"SNORD116-2"	"33673"	"GENE:100033414"	"1839642"	"GENE"		"Gene"	
"NF1P6"	"23870"	"GENE:644637"	"1839643"	"GENE"		"Gene"	
"TRAPPC2P3"	"10531"	"GENE:27195"	"1839644"	"GENE"		"Gene"	
"TRNAQ48P"	"34378"	"GENE:100189516"	"1839645"	"GENE"		"Gene"	
"ADAT2"	"18113"	"GENE:134637"	"1839646"	"GENE"		"Gene"	
"LOC728853"	"23958"	"GENE:728853"	"1839647"	"GENE"		"Gene"	
"OXNAD1"	"20024"	"GENE:92106"	"1839648"	"GENE"		"Gene"	
"LOC652423"	"27194"	"GENE:652423"	"1839649"	"GENE"		"Gene"	
"LOC100505472"	"40297"	"GENE:100505472"	"1839650"	"GENE"		"Gene"	
